unit_id,area,x,y,z,w,ratio_xy,ratio_zw
230629-probe0-unit0,V1,1.6558791801510246,3.608414239482201,4.263565891472868,4.365848406546081,0.45889387144992516,0.9765721331689271
230629-probe0-unit40,V1,0.296655879180151,1.1596548004314995,0.0,0.08074935400516796,0.2558139534883721,0.0
230629-probe0-unit68,V1,1.720604099244876,4.061488673139158,6.040051679586564,5.35099052540913,0.42363877822045154,1.1287726358148895
230629-probe0-unit77,V1,0.32362459546925565,1.1650485436893205,1.1843238587424632,0.9689922480620154,0.27777777777777773,1.222222222222222
230629-probe0-unit125,V1,1.4401294498381878,3.0043149946062564,0.7213608957795005,2.8692937123169684,0.4793536804308798,0.25140712945590993
230714-probe0-unit110,V1,1.4399173804652463,3.024041934530482,0.19630475367264255,0.722292640631207,0.4761565519390889,0.27178008279454857
230830-probe2-unit51,V1,3.5965960001006176,7.650516663066983,4.5032644295264825,4.540490076508228,0.470111517757128,0.9918014032946916
230629-probe0-unit226,V2,0.749730312837109,1.6558791801510246,0.3499138673557278,0.7428940568475452,0.4527687296416939,0.4710144927536232
230629-probe0-unit231,V2,5.836030204962243,11.725997842502698,4.624246339362618,2.0887166236003445,0.49770009199632,2.213917525773196
230629-probe0-unit305,V2,0.37756202804746497,1.3700107874865157,0.5867786391042205,0.6136950904392765,0.2755905511811024,0.9561403508771928
230629-probe0-unit347,V2,0.9223300970873787,2.3300970873786406,1.5073212747631353,2.029500430663221,0.39583333333333337,0.7427055702917773
230721-probe0-unit38,V2,0.21171408907602665,2.885362656737539,1.477341750561097,2.936063877080381,0.07337520938023451,0.503170847914305
230721-probe0-unit50,V2,1.1842552961145716,4.93097361898907,2.2372250084125973,6.312390211750468,0.24016662582700318,0.35441804662962995
230721-probe0-unit51,V2,0.6706414108021792,3.442546968097652,1.674343161407636,3.894660972341851,0.19480966186287793,0.42990729444695597
230629-probe1-unit13,V3d,0.45846817691477887,1.0302049622437972,0.8774763135228252,0.7590439276485789,0.44502617801047123,1.1560283687943262
230629-probe1-unit18,V3d,1.186623516720604,2.4541531823085223,1.0928079242032729,1.5719207579672696,0.48351648351648346,0.6952054794520547
230719-probe2-unit51,V3d,5.097553896736319,10.339192403576666,7.497019277925031,11.74044686896584,0.49303211486546167,0.6385633665906115
230719-probe2-unit56,V3d,2.5278134118195434,5.406845468163812,4.069109638265085,4.77093852246851,0.46752092818328683,0.8528950056895106
230721-probe1-unit19,V3d,1.1585190211612595,2.638874389579056,0.5439004427032684,2.9600860863363985,0.43902014652014654,0.1837448056709851
230721-probe1-unit29,V3d,0.28363066584697233,1.079739437736097,0.19794203952222622,0.5548020878676458,0.2626843624806965,0.3567795504934139
230721-probe1-unit55,V3d,1.5240949530802335,4.245832898354038,0.7807459195045676,2.75300306558121,0.35896253799132605,0.2835979114101487
230629-probe1-unit71,V3a,0.5555555555555555,1.1434735706580368,0.7159776055124892,1.03359173126615,0.4858490566037735,0.6927083333333333
230629-probe1-unit74,V3a,0.7982740021574974,2.567421790722762,0.624461670973299,2.347114556416882,0.31092436974789917,0.2660550458715597
230629-probe1-unit99,V3a,0.4962243797195254,1.2297734627831716,0.8828596037898363,1.5503875968992247,0.4035087719298246,0.5694444444444444
230629-probe1-unit102,V3a,0.5016181229773463,1.3807982740021576,1.52885443583118,1.4534883720930232,0.36328125,1.0518518518518518
230714-probe1-unit126,V3a,0.7696771765554952,1.662657545663922,1.3616017554073008,1.132809119345227,0.46291984694187427,1.2019692745714456
230630-probe1-unit20,V4,0.4777315456927107,1.155802126675913,0.5690906853697552,0.5690906853697552,0.4133333333333333,1.0
230831-probe2-unit50,V4,0.7809227213928286,2.122453316883567,0.838793965323953,1.565997607154278,0.3679339918483909,0.535629148787912
230630-probe1-unit65,MT,1.1403914316535675,2.6814609338881183,1.937984496124031,2.6762643041712812,0.42528735632183906,0.7241379310344827
230630-probe1-unit70,MT,0.9246417013407303,1.972568962860225,1.0612772240679218,0.7844222960502029,0.46874999999999994,1.3529411764705885
230818-probe2-unit150,MST,0.5216199208917656,1.1452714850773102,1.5387238013207005,1.4137866063738158,0.45545525902668765,1.0883706171664285
230831-probe2-unit174,TEO,0.4583914522596178,1.0546954721712003,0.34013128795870534,0.4562587373174889,0.4346197213836249,0.7454789577476607
230831-probe0-unit13,FEF,1.722449327201499,3.9034435559729377,1.1209572485582278,1.6599180269620906,0.44126405377781275,0.6753087985975758
230831-probe0-unit56,FEF,4.475003874595085,9.467534729415158,3.2451362010725533,6.465289493900265,0.4726683347346455,0.50193207962833
230825-probe0-unit34,PFC,2.040921301343917,6.831305631990954,3.5158355096795586,3.302471054979035,0.2987600630524123,1.064607516961834
230825-probe0-unit55,PFC,2.3713241303189903,5.121460175714887,2.7418795801148743,3.728048458440615,0.4630171960651798,0.7354731599335916
230825-probe0-unit170,PFC,1.1240330200924147,2.5891409814882116,1.0440320517839898,1.9976229079056254,0.4341335709909207,0.5226372042752493
