unit_id,area,x,y,z,w,ratio_xy,ratio_zw
230629-probe0-unit62,V1,1.7745415318230853,0.749730312837109,0.39836347975882863,0.8021102497846684,2.366906474820144,0.4966442953020135
230629-probe0-unit104,V1,3.5382955771305284,1.208198489751888,2.896210163652024,1.8141688199827735,2.928571428571428,1.5964391691394657
230629-probe0-unit119,V1,9.002157497303129,2.2114347357065807,1.2919896640826873,0.7482773471145564,4.070731707317073,1.7266187050359714
230630-probe2-unit47,V1,4.0221914008321775,1.787640622592079,2.2609819121447026,2.6762643041712812,2.25,0.8448275862068964
230629-probe0-unit178,V2,1.564185544768069,0.744336569579288,3.1330749354005167,1.5127045650301465,2.101449275362319,2.071174377224199
230629-probe0-unit273,V2,1.5965480043149949,0.6903991370010788,0.2153316106804479,0.0,2.3125000000000004,0.0
230629-probe0-unit281,V2,2.6483279395900756,0.9762675296655879,1.4642549526270454,1.9164513350559862,2.712707182320442,0.7640449438202246
230629-probe0-unit337,V2,1.7907227615965482,0.8090614886731391,2.0025839793281652,2.3740310077519378,2.213333333333334,0.8435374149659864
230714-probe0-unit341,V2,1.2714400452953252,0.6114666919803442,0.7482963851704206,0.9528658948594023,2.0793283787503443,0.7853113320640294
230629-probe1-unit2,V3d,2.238403451995685,0.7713052858683925,0.9097760551248922,0.5813953488372093,2.9020979020979025,1.5648148148148147
230629-probe1-unit3,V3d,4.309600862998921,2.071197411003236,2.018733850129199,2.0133505598621877,2.0807291666666665,1.002673796791444
230629-probe1-unit5,V3d,16.87162891046386,7.772384034519956,9.7599052540913,5.830103359173127,2.170714781401804,1.6740535549399815
230629-probe1-unit7,V3d,2.03344120819849,0.9492988133764833,2.056416881998277,1.2112403100775193,2.1420454545454546,1.6977777777777776
230719-probe2-unit33,V3d,4.096267100865977,1.9634257753828528,3.5257480177920812,2.4580456037004383,2.086285691175281,1.434370465903595
230629-probe1-unit103,V3a,2.1521035598705507,0.5016181229773463,1.970284237726098,0.9689922480620154,4.290322580645162,2.033333333333333
230629-probe1-unit104,V3a,1.1812297734627832,0.16181229773462782,1.3458225667527992,0.31761412575366066,7.300000000000001,4.23728813559322
230629-probe1-unit108,V3a,4.12621359223301,1.5372168284789645,2.099483204134367,2.503229974160207,2.68421052631579,0.8387096774193548
230630-probe1-unit25,V4,1.4640160271228233,0.49314224071505625,0.29223575735203644,0.19995078134613017,2.96875,1.4615384615384617
230630-probe1-unit47,MT,1.1403914316535675,0.3852673755586377,0.39990156269226035,0.18456995201181248,2.9599999999999995,2.1666666666666665
230818-probe1-unit70,TEO,1.754539733908666,0.8405249910104278,7.664908125179443,5.972536247487798,2.0874331550802143,1.2833589965073047
230831-probe2-unit131,TEO,1.04874931139622,0.30674517133382745,0.6527335168706038,0.5183618440962382,3.41895947973987,1.2592236953872291
230823-probe0-unit7,FEF,1.9578489438625557,0.36364654851741696,1.8117149390821468,0.9375865769842312,5.3839338001273065,1.932317487852236
230823-probe0-unit16,FEF,4.7693668406661,1.637525175752854,3.892371836492013,3.0629054159326974,2.912545658098587,1.270810328077575
230823-probe0-unit34,FEF,2.3864287385862784,1.1666596066923003,3.020664626614895,1.2797083232374982,2.045522725649389,2.3604321170413276
230823-probe0-unit40,FEF,3.227875834263282,0.9685544112224426,2.5558865695729183,0.7253845981820658,3.332673721643867,3.5234916428862624
230823-probe0-unit42,FEF,6.612135887608912,2.5222765338720206,11.544173922268444,5.4547635430661074,2.621495224180843,2.1163472680576536
230823-probe0-unit106,FEF,13.367387871982528,5.746670990611623,10.466493193882359,8.367261808061032,2.326109828424304,1.2508863035454352
230831-probe0-unit36,FEF,8.823143531881394,3.984157893202349,3.329790929240134,2.0990811803235307,2.214556693883839,1.5863087909381925
230630-probe0-unit14,PFC,2.558175373709354,0.6934812760055479,1.5073212747631353,0.6767564907099791,3.688888888888888,2.227272727272727
230630-probe0-unit27,PFC,3.0975496994914473,0.36985668053629217,1.7226528854435832,0.7382798080472499,8.375000000000002,2.3333333333333335
230818-probe0-unit42,PFC,6.577669902912621,3.1787126932758003,3.56239233419466,4.4524296583405105,2.069287330316742,0.8001007556675064
230818-probe0-unit73,PFC,2.57056814095649,1.2115695792880257,0.5531330749354005,0.797624174562159,2.121684288629197,0.6934758155230597
230818-probe0-unit188,PFC,2.2143563466379,1.0861650485436893,0.852354292276773,1.0878732414585128,2.0386923236085246,0.7835051546391752
230825-probe0-unit38,PFC,2.470545931425429,1.0493282337942533,1.227121496159344,1.3485094139448905,2.3544071834341214,0.9099836333878887
